"ID","Size","enrichmentScore","NES","pvalue","padj","leading_edge","core_enrichment"
"HALLMARK_COAGULATION",175,0.380077636234306,1.21687265518165,0.037962037962038,0.0862773590046317,"tags=66%, list=47%, signal=35%","Lrp1b/Pcsk5/Rapgef4/Fbn1/Tll1/Itgb6/Cpq/Fbn2/Lrp2/Lyn/Fyn/Mmp16/Pcsk6/Vwf/Prep/Tll2/Cfhr2/Scin/Itgb5/Lrp6/Hnf4g/Cfhr4/Hck/Fn1/Plek/Capn9/Klf7/C6/Gda/Dcbld1/A2ml1/C7/C9/Hc/Usp15/Blk/Cfh/Gng12/Capn8/Cpn1/Mep1a/Pecam1/Gm7298/Serpina1b/Lrp5/Adam9/Dct/A2m/Fap/C8b/Thbs4/Lrp1/Gsn/Serpinc1/Htra3/Thbs2/Lck/Gnb1/Wdr1/Dpp4/Cfi/Bmp1/Gm19410/Ctse/Capn5/Plg/Yes1/Lrp4/Ctso/Lgmn/Lta4h/Itgb3/Tfpi2/Csrp1/C8a/Gnb4/Muc5ac/Cpb2/Mmp15/Mug2/Src/Vill/Mug1/Serpinb2/Cfhr1/Olr1/Capn11/Capn2/Hmgcs2/Cd9/Usp4/Masp2/F3/C2/Fgr/Plat/Hnf4a/Itgb2/Mmp3/Pzp/Iscu/Ctsb/Rabif/Rac1/F11/Serpine1/Dusp14/Pdgfb/Mmp11/Msrb2/Muc5b/F2/Prss23/Sh2b2/Rapgef3/Thbs1"
"HALLMARK_ANGIOGENESIS",48,0.456761203970811,1.35027895595887,0.043956043956044,0.0955566172957477,"tags=38%, list=22%, signal=29%","Fgfr2/Vav3/App/Col5a2/Itga8/Wdr33/Ptk2/Tnfrsf21/Vav2/Nrp2/Ccnd3/Itgav/Nrp1/Ptk2b/Col2a1/Apoh/Col3a1/Col1a2"
"HALLMARK_SPERMATOGENESIS",160,0.37565866333289,1.1983946267415,0.0529470529470529,0.11030636030636,"tags=35%, list=26%, signal=26%","Dcc/Mast4/Grm8/Grm7/Pacrg/Pcsk5/Grm5/Grm1/Dmrt1/Neo1/Adad1/Pcsk6/Lpin1/Cftr/Grm3/Zpbp/Map7/Lpin2/Clvs1/Mtor/Sycp1/Ide/Nos1/Spata6/Ift88/Crisp2/Clvs2/Braf/Hspa4l/Mast2/Tle4/Il12rb2/Snap91/Cnih3/Sirt1/Pias2/Clpb/Grm4/Tnni1/Pias1/Mtnr1b/Agfg1/Zc3h14/Gad1/Cct6b/Ttk/Kif2a/Nphp1/Mllt10/Tle3/Arl4a/Nefm/Tle1/Jam3/Ezh2/Strbp"
"HALLMARK_COMPLEMENT",249,0.355793070704009,1.15583472731796,0.0579420579420579,0.115884115884116,"tags=41%, list=34%, signal=27%","L3mbtl4/Lrp1b/Dock2/Dock1/Dock10/Dock8/Zfpm2/Pclo/Pla2g4a/Dock4/Dock5/Dock9/Cpq/Dock7/Me3/Lrp2/Lyn/Rasgrp3/Xpnpep1/Col4a2/Fyn/Mmp16/Notch2/Prep/Lipo3/Dock3/Cfhr2/Gnai1/Irf2/Lrp6/Hnf4g/Dgkh/L3mbtl3/Jak1/Cfhr4/Hck/Col4a1/Gpd2/F5/Zeb2/Fn1/Usp8/Jak2/Cd36/Plek/Actn1/Zeb1/Actn4/Kynu/Cpm/Dcbld1/Pik3r5/Kcnip3/Actn2/Gata3/Me1/Hc/Usp15/Blk/Cfh/Pla2g7/Grb2/Usp16/Serpina1b/Lrp5/Adam9/Me2/Prcp/Fap/Gnai3/Lrp1/Gng2/Serpinc1/Lck/Gnb1/Notch4/Dpp4/Timp2/Lipa/Gm19410/Psen1/Usp14/Dgkd/Wasl/Plg/Brd1/Yes1/Lrp4/Ctso/Lgmn/Scg3/Lta4h/Tfpi2/Csrp1/Gnb4/Ehd3/Kcnip2/Cd55/Mmp15/Prdm4/Anxa5"
"HALLMARK_KRAS_SIGNALING_DN",356,0.343102725004846,1.12947005016795,0.0639360639360639,0.122953969107815,"tags=35%, list=31%, signal=25%","Dcc/Epha6/Fgfr2/Grid1/Grid2/Mast4/Prkn/Cacna1c/Kcnq5/Cdkal1/Clstn2/Cacna1d/Ryr2/Kcnd2/Ryr3/Fggy/Bmpr1b/Cacna1e/Ephb1/Epha5/Kcnn2/Epha3/Myh15/Camk1d/Cacna1a/Pax3/Dtna/Kcnq3/Tcf7l1/Cacna1b/Neo1/Kmt2c/Epha7/Sptb/Stag1/Slc16a7/Kcnd3/Nr6a1/Celsr1/Bmpr1a/Ephb2/Zbtb16/Cpeb3/Dtnb/Kcnn3/Abcb5/Nos1/Abcb1b/Myh10/Tg/Pde6c/Epha4/Zfp808/Abcb1a/Abcb11/Sgk1/Pax7/Capn9/Vps50/Cyp39a1/Bard1/Ntf3/Asb7/Tgfb2/Sptbn1/Zfp950/Pkp1/Myh14/Myo7b/Myo7a/Myh11/Cacna1s/Plag1/Thnsl2/Hc/Col2a1/Zfp984/Egf/Capn8/Sptbn4/Tnni1/Tent5c/Ptprj/Zfp267/Pde6a/Ryr1/Myh13/Atp1a4/Tfcp2/Col1a2/Zfp980/Ptgfr/Macroh2a2/Kmt2d/Kcnq2/Zfp268/Abcb4/Abcg1/Ubp1/Entpd7/Msh5/Myh9/Edar/Brdt/Efhd1/Atp1a3/Mfsd6/Clstn1/Myh2/Ugt2a1/Zfp97/Tfcp2l1/Alox5/Pde6b/Pdk2/Ifi44/Fgf9/Myh8/Macroh2a1/Zfp534/Mfng/Zfp960/Ypel2/Zfp990"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",85,0.37567117248271,1.15181920224791,0.165834165834166,0.307100307100307,"tags=45%, list=31%, signal=31%","Itga9/Pdgfc/Itgb6/Stat4/Il1r1/Cblb/Tnfrsf21/Itgb5/Jak1/Jak2/Cd36/Lepr/Il2ra/A2ml1/Pik3r5/Fas/Il1r2/Itga4/Stat3/Grb2/Cbl/Acvr1c/Gm7298/A2m/Il18r1/Bst1/Cd38/Tnfrsf1b/Ptpn2/Cd44/Ptpn11/Il4ra/Il7/Ifngr2/Stam2/Dntt/Itgb3/Acvr1b"
"HALLMARK_XENOBIOTIC_METABOLISM",275,0.33328422256147,1.08677444760622,0.186813186813187,0.333594976452119,"tags=55%, list=44%, signal=31%","Epha6/Crp/Esr1/Abcc4/Ephb1/Epha5/Pdlim5/Abcc9/Epha3/Ddah1/Man1a2/Upp2/Mthfd1l/Epha7/Gadl1/Man1a/Lpin1/Abcc12/Gcnt2/Lpin2/Ephb2/Papss1/Il1r1/Abcc1/Rap1gap2/Hnf4g/Aox3/Papss2/Enpep/Epha4/Fbln1/Cd36/Abcc2/Aox1/Aldh1a2/Ddc/Kynu/Elovl5/Tgfb2/Fas/Man1c1/Aldh1a1/Xdh/Aox4/Slc35d1/Aox2/Bcat1/Cyp27a1/Igf1/Slc6a11/Cyp2c38/Pcx/Tpst1/Abcd2/Abcc8/Slc22a2/Abcc5/Npc1/Gch1/Slc35d2/Gad1/Cyp2c66/Cyp2j8/Cyp4f40/Abcc6/Cyp4f39/Cyp2c39/Fmo3/Tyr/Gclc/Cyp2j13/Mpp2/Aldh1a7/Slc6a6/Adh1/Mthfd1/Cyp2j11/Cndp2/Entpd5/Slc22a1/Rap1gap/Cat/Akr1c14/Cyp2c40/Slc6a13/Pdk4/Cyb5a/Cyp2c69/Plg/Ttpa/Nmt1/Ephx1/Ppard/Abcc3/Cyp2c29/Cyp2c37/Cyp4f16/Cyp2j6/Crot/Adh4/Akr1c18/Slc35b3/Akr1c19/Gsta5/Akr1c6/Epha10/Smox/Cyp2c70/Pgrmc2/Cyp2c65/Pemt/Atoh8/Fmo2/Aco2/Ap4b1/Aqp9/Por/Etfdh/Hdc/Ahcy/Idh2/Gsr/Cyp2ab1/Aldh3a2/Bphl/Slc6a12/Pdlim7/Cda/Ctnnb1/Cyp2c67/Nmt2/Arg2/Tdo2/C2/Fmo1/Atp2a2/Cndp1/Mptx1/Acp1/Gad2/Cyp2c54/Cyp4f17/Ptgr1/Hnf4a/Atp2a1/Aldh9a1/Ets2/Vnn3/Elovl2/Cyp4f37/Gm4846/Fmo5"
"HALLMARK_P53_PATHWAY",207,0.339765810266203,1.09543854365608,0.200799200799201,0.346205518619312,"tags=51%, list=43%, signal=29%","Epha6/Ptprd/Slc7a11/Dgkb/Fgf12/Ephb1/Epha5/Fgf14/Pvt1/App/Wwp2/Epha3/Plxna4/Upp2/Pitpnc1/Kif13a/Plxna2/Epha7/Ptpn14/Dgkg/Notch2/Ptpre/Ephb2/Kif13b/Zbtb16/Foxo3/Itch/Tsc22d1/Rb1/Tpd52l1/Steap3/Epha4/Ptpra/Ccnd3/Hspa4l/Sesn1/Rxra/Ptprf/Fas/Slc35d1/Rxrg/Stom/Tnni1/Prmt2/Ercc5/Apaf1/Acvr1c/Slc35d2/Ptpn21/Ptprs/St14/Bivm/Sesn3/Cdkn2a/Notch4/Gls/Vdr/Mdm2/Slc19a2/Dram1/Atf3/Mknk1/Tgfa/Alox5/Nudt15/Isg20l2/Ephx1/Plxnb1/Baiap2/Acvr1b/Elp1/Fgf13/Mknk2/Tm7sf3/Epha10/Ada/Eps8l2/Ralgds/Clca4b/Stoml3/Aloxe3/Rnf19b/Clca3a1/Tgfbr1/Zfp365/Clca1/Serpinb5/Def6/S100a10/Ccnk/Rhbdf2/Rad51c/Wwp1/Hspa4/Ei24/Ndrg1/Itgb4/Rnf19a/Ak1/Ccnd2/Notch1/Vwa5a/Cd82/Clca4a/Krt42"
"HALLMARK_G2M_CHECKPOINT",209,0.333662568518972,1.07641894487506,0.250749250749251,0.415713318939125,"tags=57%, list=46%, signal=31%","Utrn/Rasal2/Foxn3/Fancc/Hmga2/Abl2/Meis1/Meis2/Wrn/Prim2/Map3k20/Notch2/Dab2ip/Pds5a/Nsd3/Dmd/Rbl2/Katnal1/Smad2/Abl1/Top1/Kifc3/Kif5c/Mnat1/Rps6ka5/Slc38a1/E2f3/Ccnd3/Slc7a1/Tle4/Rad54l/Exo1/Nsd1/Pds5b/Orc5/Bard1/Ccnt1/Smad3/Nup98/Tpx2/Pole/Numa1/Cenpe/Arid4a/Uck2/Ndc80/Egf/Slc7a2/Rbl1/Kif20b/Stil/Nsd2/Cul3/Cenpf/Cul1/Ttk/Mapk14/Tnpo1/Kif2a/Kif11/Ss18/Brca2/Tfdp1/Mtf2/Knl1/Cdc7/Tle3/Notch4/H2bc6/Tle1/Ezh2/Strbp/Ilf3/Lbr/Hnrnpd/Mcm3/Cul4a/Cbx1/Smc1b/Rad21/Prpf4b/Xpo1/Katna1/Ncl/AU018091/Syngap1/Mki67/Kpnb1/Pafah1b1/Espl1/Nusap1/Lig3/Odf2/Syncrip/Cul5/Nasp/Dr1/Aurka/Ythdc1/Kif2c/Pml/Rad23b/Ccnd2/Notch1/Snrpd1/Kif23/Mybl2/Nup50/Racgap1/Ezh1/H2bc24/Hnrnpr/Cdc45/Sqle/E2f2/Tgfb1/Mybl1/Mcm5/Tmpo"
"HALLMARK_ALLOGRAFT_REJECTION",204,0.332362926270776,1.07095709410677,0.257742257742258,0.415713318939125,"tags=48%, list=41%, signal=29%","Erbb4/Hdac9/Galnt13/Prkcb/Prkca/Itgb6/Pla2r1/Ets1/Lyn/Hdac4/Fyn/Egfr/Stat4/Crtam/Akt3/Ptprc/Nos1/Eif4g3/Cd247/Itgb5/Tpd52/Jak1/Hck/Flnb/Ccnd3/Il16/Gbp5/Ly86/Jak2/Gbp8/Ly75/Il2ra/Mrc1/Il15/Tgfb2/Fas/Abi1/Syk/Galnt1/Bcat1/Acvr2a/Stat3/Nlrp1b/Blk/Nlrp1a/Map3k7/Il18/Hdac5/Hdac7/Il18rap/Cd28/Bche/Ifnar2/Lck/H2-DMa/Akt2/Brca1/Cdkn2a/Zap70/Acvr2b/Fcgr3/Ptpn11/Il7/Socs5/Wasl/Ifngr2/Ncf4/Yes1/Glmn/Gbp7/Itgb3/Gcnt1/Abi2/Gbp2/Bcl10/Src/Chuk/Nos2/H2-DMb2/Cd8b1/Eif3a/Ube2d1/Fcgr2b/Ikbkb/Tlr3/H2-Ob/Prkcg/Eif4g1/Srgn/Tapbp/Ube2n/Gbp2b/Thy1/Capg/Tlr6/C2/Fgr/Nlrp12"
